EmployeeNumber,Age,AgeBand,Gender,MaritalStatus,Department,JobRole,JobLevel,SeniorityBand,MonthlyIncome,MonthlyIncomeK,AnnualIncome,SalaryBand,Attrition,AttritionBinary,AttritionRiskScore,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,PromotionRecency,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,JobSatisfactionLabel,EnvironmentSatisfaction,EnvironmentSatisfactionLabel,WorkLifeBalance,WorkLifeBalanceLabel,PerformanceRating,PerformanceLabel,OverTime,OvertimeBinary,BusinessTravel,DistanceFromHome,DistanceBand,Education,EducationField,StockOptionLevel,PercentSalaryHike,RelationshipSatisfaction,JobInvolvement
477,42,36-45,Male,Single,Research & Development,Healthcare Representative,2,Mid-Level,6781,6.78,81372,High (6-10K),No,0,1.357,1,0-2 yrs,0,0,Just Promoted,0,3,14,6,4,Very High,1,Low,3,Better,4,Outstanding,No,0,Travel_Rarely,2,Near (1-5),4,Other,0,23,2,2
478,21,18-25,Female,Single,Sales,Sales Representative,1,Junior,2174,2.17,26088,Low (<3K),Yes,1,2.06,3,3-5 yrs,2,1,1-2 yrs,2,1,3,3,2,Medium,1,Low,3,Better,3,Excellent,Yes,1,Travel_Frequently,1,Near (1-5),1,Technical Degree,0,11,3,2
479,36,36-45,Female,Single,Sales,Sales Executive,2,Mid-Level,6653,6.65,79836,High (6-10K),No,0,0.753,1,0-2 yrs,0,0,Just Promoted,0,4,7,6,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Non-Travel,1,Near (1-5),5,Medical,0,15,2,3
481,36,36-45,Male,Married,Sales,Sales Executive,3,Senior,9699,9.7,116388,High (6-10K),No,0,1.367,13,11-20 yrs,9,1,1-2 yrs,12,4,16,2,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,3,Near (1-5),4,Medical,1,11,1,2
482,57,55+,Male,Married,Research & Development,Healthcare Representative,2,Mid-Level,6755,6.76,81060,High (6-10K),No,0,1.01,3,3-5 yrs,2,1,1-2 yrs,2,2,15,2,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),4,Medical,0,11,3,3
483,40,36-45,Female,Married,Research & Development,Laboratory Technician,1,Junior,2213,2.21,26556,Low (<3K),No,0,1.241,7,6-10 yrs,7,1,1-2 yrs,7,3,10,3,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),4,Life Sciences,1,13,3,4
484,21,18-25,Male,Single,Sales,Sales Representative,1,Junior,2610,2.61,31320,Low (<3K),No,0,1.544,3,3-5 yrs,2,2,1-2 yrs,2,1,3,3,4,Very High,1,Low,2,Good,4,Outstanding,No,0,Non-Travel,9,Medium (6-15),2,Medical,0,24,3,3
485,33,26-35,Female,Single,Sales,Sales Representative,1,Junior,2851,2.85,34212,Low (<3K),Yes,1,1.217,1,0-2 yrs,0,0,Just Promoted,0,1,1,2,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,5,Near (1-5),3,Marketing,0,13,2,3
486,37,36-45,Female,Married,Research & Development,Laboratory Technician,1,Junior,3452,3.45,41424,Medium (3-6K),No,0,1.734,5,3-5 yrs,4,0,Just Promoted,3,6,17,3,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,10,Medium (6-15),3,Medical,1,20,2,3
487,46,46-55,Female,Married,Research & Development,Manufacturing Director,2,Mid-Level,5258,5.26,63096,Medium (3-6K),No,0,1.074,1,0-2 yrs,0,0,Just Promoted,0,2,7,2,3,High,3,High,4,Best,3,Excellent,No,0,Non-Travel,7,Medium (6-15),4,Medical,0,14,3,3
488,41,36-45,Male,Single,Sales,Sales Executive,2,Mid-Level,9355,9.36,112260,High (6-10K),Yes,1,1.91,8,6-10 yrs,7,7,5+ yrs,7,1,8,5,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,4,Near (1-5),3,Marketing,0,18,3,3
491,50,46-55,Male,Single,Research & Development,Healthcare Representative,3,Senior,10496,10.5,125952,Very High (10K+),No,0,0.791,4,3-5 yrs,3,1,1-2 yrs,3,6,20,2,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),3,Technical Degree,0,15,4,2
492,40,36-45,Male,Married,Sales,Sales Executive,2,Mid-Level,6380,6.38,76560,High (6-10K),Yes,1,1.483,6,6-10 yrs,4,1,1-2 yrs,0,2,8,6,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,22,Far (16+),2,Marketing,2,12,1,2
493,31,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2657,2.66,31884,Low (<3K),No,0,1.694,2,0-2 yrs,2,2,1-2 yrs,2,0,3,5,2,Medium,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,9,Medium (6-15),4,Life Sciences,0,16,4,2
494,21,18-25,Female,Single,Sales,Sales Representative,1,Junior,2716,2.72,32592,Low (<3K),Yes,1,1.491,1,0-2 yrs,0,0,Just Promoted,0,1,1,0,2,Medium,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,12,Medium (6-15),3,Life Sciences,0,15,4,4
495,29,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2201,2.2,26412,Low (<3K),No,0,0.836,3,3-5 yrs,2,1,1-2 yrs,2,9,6,4,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,23,Far (16+),3,Life Sciences,0,16,4,3
496,35,26-35,Male,Single,Research & Development,Healthcare Representative,2,Mid-Level,6540,6.54,78480,High (6-10K),No,0,1.481,1,0-2 yrs,1,0,Just Promoted,0,9,10,5,2,Medium,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),4,Life Sciences,0,19,3,2
497,27,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,3816,3.82,45792,Medium (3-6K),No,0,1.253,5,3-5 yrs,2,0,Just Promoted,4,1,5,2,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),2,Medical,1,11,2,3
498,28,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,5253,5.25,63036,Medium (3-6K),No,0,1.181,7,6-10 yrs,5,0,Just Promoted,7,1,7,1,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),4,Life Sciences,0,16,4,3
499,49,46-55,Male,Single,Research & Development,Healthcare Representative,3,Senior,10965,10.96,131580,Very High (10K+),No,0,1.424,5,3-5 yrs,2,0,Just Promoted,0,8,26,2,3,High,2,Medium,3,Better,4,Outstanding,No,0,Travel_Rarely,7,Medium (6-15),3,Other,0,24,3,2
500,51,46-55,Female,Married,Sales,Sales Executive,2,Mid-Level,4936,4.94,59232,Medium (3-6K),No,0,1.148,7,6-10 yrs,7,0,Just Promoted,7,4,18,2,4,Very High,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,14,Medium (6-15),2,Life Sciences,1,11,3,3
501,36,36-45,Female,Married,Research & Development,Research Scientist,1,Junior,2543,2.54,30516,Low (<3K),No,0,1.02,2,0-2 yrs,2,2,1-2 yrs,2,4,6,3,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Life Sciences,1,13,2,3
502,34,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,5304,5.3,63648,Medium (3-6K),Yes,1,1.766,5,3-5 yrs,2,0,Just Promoted,4,8,9,3,4,Very High,1,Low,2,Good,3,Excellent,Yes,1,Non-Travel,19,Far (16+),3,Marketing,0,13,2,4
505,55,46-55,Female,Single,Research & Development,Manager,4,Lead,16659,16.66,199908,Very High (10K+),No,0,1.164,5,3-5 yrs,4,1,1-2 yrs,2,2,30,2,4,Very High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,2,Near (1-5),3,Life Sciences,0,13,3,3
507,24,18-25,Female,Divorced,Sales,Sales Executive,2,Mid-Level,4260,4.26,51120,Medium (3-6K),No,0,1.084,5,3-5 yrs,2,0,Just Promoted,3,1,5,2,3,High,4,Very High,4,Best,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),4,Marketing,1,12,4,3
508,30,26-35,Male,Married,Sales,Sales Representative,1,Junior,2476,2.48,29712,Low (<3K),No,0,1.457,1,0-2 yrs,0,0,Just Promoted,0,1,1,3,2,Medium,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),1,Technical Degree,1,18,1,3
510,26,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,3102,3.1,37224,Medium (3-6K),Yes,1,1.71,6,6-10 yrs,4,0,Just Promoted,4,0,7,2,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Frequently,3,Near (1-5),1,Technical Degree,0,22,3,3
511,22,18-25,Female,Married,Research & Development,Research Scientist,1,Junior,2244,2.24,26928,Low (<3K),No,0,1.895,2,0-2 yrs,1,1,1-2 yrs,2,1,2,1,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,11,Medium (6-15),3,Medical,1,13,4,3
513,36,36-45,Male,Married,Sales,Sales Executive,3,Senior,7596,7.6,91152,High (6-10K),No,0,1.467,10,6-10 yrs,9,9,5+ yrs,0,1,10,2,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Medical,2,13,2,2
514,30,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2285,2.28,27420,Low (<3K),Yes,1,1.164,1,0-2 yrs,0,0,Just Promoted,0,9,3,4,4,Very High,3,High,3,Better,4,Outstanding,Yes,1,Travel_Frequently,4,Near (1-5),3,Technical Degree,0,23,3,3
515,37,36-45,Female,Divorced,Research & Development,Laboratory Technician,1,Junior,3034,3.03,36408,Medium (3-6K),No,0,1.778,18,11-20 yrs,7,12,5+ yrs,17,1,18,2,1,Low,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,14,Medium (6-15),3,Life Sciences,1,12,3,3
516,40,36-45,Female,Divorced,Sales,Sales Executive,2,Mid-Level,5715,5.72,68580,Medium (3-6K),No,0,1.264,5,3-5 yrs,4,1,1-2 yrs,3,7,8,5,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Marketing,2,12,3,3
517,42,36-45,Female,Divorced,Research & Development,Laboratory Technician,1,Junior,2576,2.58,30912,Low (<3K),No,0,1.91,5,3-5 yrs,2,1,1-2 yrs,2,3,8,5,1,Low,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),4,Life Sciences,1,16,2,3
518,37,36-45,Male,Single,Research & Development,Manufacturing Director,2,Mid-Level,4197,4.2,50364,Medium (3-6K),No,0,1.834,1,0-2 yrs,0,0,Just Promoted,1,2,18,2,2,Medium,3,High,2,Good,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),4,Life Sciences,0,12,4,3
520,43,36-45,Male,Divorced,Research & Development,Research Director,4,Lead,14336,14.34,172032,Very High (10K+),No,0,1.911,25,20+ yrs,10,3,3-5 yrs,9,1,25,3,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,12,Medium (6-15),3,Life Sciences,1,11,3,2
521,40,36-45,Female,Married,Research & Development,Laboratory Technician,2,Mid-Level,3448,3.45,41376,Medium (3-6K),No,0,1.407,1,0-2 yrs,0,0,Just Promoted,0,6,20,3,3,High,2,Medium,3,Better,4,Outstanding,No,0,Travel_Rarely,2,Near (1-5),3,Medical,1,22,2,2
522,54,46-55,Male,Married,Research & Development,Research Director,5,Director,19406,19.41,232872,Very High (10K+),No,0,2.274,4,3-5 yrs,2,1,1-2 yrs,2,4,24,4,1,Low,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,5,Near (1-5),2,Medical,1,11,3,3
523,34,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,6538,6.54,78456,High (6-10K),No,0,1.22,3,3-5 yrs,2,1,1-2 yrs,2,9,6,3,3,High,3,High,3,Better,3,Excellent,No,0,Non-Travel,4,Near (1-5),4,Marketing,1,15,1,3
524,31,26-35,Female,Married,Research & Development,Manufacturing Director,2,Mid-Level,4306,4.31,51672,Medium (3-6K),No,0,2.244,13,11-20 yrs,10,3,3-5 yrs,12,1,13,5,1,Low,2,Medium,1,Bad,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),2,Medical,1,12,2,3
525,43,36-45,Male,Married,Research & Development,Laboratory Technician,1,Junior,2258,2.26,27096,Low (<3K),No,0,0.829,3,3-5 yrs,2,1,1-2 yrs,2,7,8,1,4,Very High,4,Very High,3,Better,4,Outstanding,No,0,Travel_Frequently,21,Far (16+),3,Medical,1,20,1,3
526,43,36-45,Female,Divorced,Research & Development,Healthcare Representative,2,Mid-Level,4522,4.52,54264,Medium (3-6K),No,0,1.428,5,3-5 yrs,2,0,Just Promoted,2,4,8,3,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,8,Medium (6-15),4,Other,0,14,4,3
527,25,18-25,Female,Single,Sales,Sales Executive,2,Mid-Level,4487,4.49,53844,Medium (3-6K),No,0,1.37,5,3-5 yrs,4,1,1-2 yrs,3,1,5,3,4,Very High,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Rarely,4,Near (1-5),2,Life Sciences,0,11,2,2
529,37,36-45,Female,Married,Research & Development,Research Scientist,2,Mid-Level,4449,4.45,53388,Medium (3-6K),No,0,1.753,13,11-20 yrs,11,10,5+ yrs,7,3,15,2,3,High,2,Medium,3,Better,3,Excellent,Yes,1,Non-Travel,25,Far (16+),5,Medical,2,15,1,3
530,31,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2218,2.22,26616,Low (<3K),No,0,1.523,4,3-5 yrs,2,3,3-5 yrs,2,1,4,3,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),2,Life Sciences,1,12,3,2
531,39,36-45,Male,Divorced,Research & Development,Manager,5,Director,19197,19.2,230364,Very High (10K+),No,0,1.61,21,20+ yrs,8,1,1-2 yrs,6,1,21,3,3,High,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Frequently,1,Near (1-5),1,Life Sciences,1,14,3,3
532,56,55+,Female,Married,Sales,Sales Executive,4,Lead,13212,13.21,158544,Very High (10K+),No,0,1.917,7,6-10 yrs,7,7,5+ yrs,7,9,36,0,1,Low,3,High,2,Good,3,Excellent,No,0,Travel_Frequently,6,Medium (6-15),3,Life Sciences,3,11,4,4
533,30,26-35,Female,Single,Sales,Sales Executive,2,Mid-Level,6577,6.58,78924,High (6-10K),No,0,1.468,5,3-5 yrs,4,4,3-5 yrs,4,0,6,6,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,12,Medium (6-15),3,Technical Degree,0,11,2,3
534,41,36-45,Male,Married,Sales,Sales Executive,3,Senior,8392,8.39,100704,High (6-10K),No,0,1.903,10,6-10 yrs,7,0,Just Promoted,7,1,10,2,1,Low,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Marketing,1,16,3,4
536,28,26-35,Male,Divorced,Research & Development,Laboratory Technician,2,Mid-Level,4558,4.56,54696,Medium (3-6K),No,0,1.765,10,6-10 yrs,0,1,1-2 yrs,8,1,10,2,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,17,Far (16+),2,Medical,1,12,4,3
538,25,18-25,Male,Married,Research & Development,Laboratory Technician,1,Junior,4031,4.03,48372,Medium (3-6K),Yes,1,2.11,2,0-2 yrs,2,0,Just Promoted,2,5,6,5,1,Low,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),3,Medical,1,13,3,3
543,52,46-55,Male,Married,Research & Development,Manufacturing Director,3,Senior,7969,7.97,95628,High (6-10K),No,0,1.21,5,3-5 yrs,4,0,Just Promoted,4,2,28,4,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,3,Near (1-5),3,Medical,0,14,3,2
544,45,36-45,Male,Married,Research & Development,Research Scientist,1,Junior,2654,2.65,31848,Low (<3K),No,0,1.534,2,0-2 yrs,2,0,Just Promoted,2,3,8,3,4,Very High,1,Low,2,Good,4,Outstanding,No,0,Travel_Rarely,10,Medium (6-15),2,Life Sciences,2,21,4,3
546,52,46-55,Female,Married,Research & Development,Manager,4,Lead,16555,16.56,198660,Very High (10K+),No,0,1.07,5,3-5 yrs,2,1,1-2 yrs,4,2,31,2,4,Very High,4,Very High,1,Bad,3,Excellent,No,0,Travel_Rarely,4,Near (1-5),2,Life Sciences,0,13,4,3
547,42,36-45,Female,Divorced,Research & Development,Research Scientist,2,Mid-Level,4556,4.56,54672,Medium (3-6K),No,0,1.7,5,3-5 yrs,4,0,Just Promoted,2,2,19,3,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,29,Far (16+),2,Life Sciences,1,11,2,3
548,30,26-35,Female,Single,Research & Development,Manufacturing Director,2,Mid-Level,6091,6.09,73092,High (6-10K),No,0,0.957,5,3-5 yrs,4,0,Just Promoted,2,2,11,2,4,Very High,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,2,Near (1-5),3,Life Sciences,0,20,3,1
549,60,55+,Female,Married,Research & Development,Manager,5,Director,19566,19.57,234792,Very High (10K+),No,0,2.497,29,20+ yrs,8,11,5+ yrs,10,5,33,5,1,Low,1,Low,1,Bad,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),3,Life Sciences,0,11,4,3
550,46,46-55,Female,Divorced,Research & Development,Manufacturing Director,2,Mid-Level,4810,4.81,57720,Medium (3-6K),No,0,1.412,10,6-10 yrs,7,0,Just Promoted,8,2,19,5,3,High,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,18,Far (16+),3,Medical,1,14,3,3
551,42,36-45,Female,Married,Research & Development,Healthcare Representative,2,Mid-Level,4523,4.52,54276,Medium (3-6K),No,0,0.697,6,6-10 yrs,5,0,Just Promoted,4,0,7,4,4,Very High,4,Very High,4,Best,3,Excellent,No,0,Travel_Frequently,28,Far (16+),4,Technical Degree,3,11,4,2
554,24,18-25,Female,Single,Sales,Sales Representative,1,Junior,3202,3.2,38424,Medium (3-6K),Yes,1,2.06,5,3-5 yrs,3,1,1-2 yrs,4,1,6,4,2,Medium,1,Low,3,Better,3,Excellent,Yes,1,Travel_Rarely,1,Near (1-5),1,Technical Degree,0,16,2,3
555,34,26-35,Female,Divorced,Sales,Sales Representative,1,Junior,2351,2.35,28212,Low (<3K),Yes,1,1.177,2,0-2 yrs,2,1,1-2 yrs,0,0,3,3,3,High,4,Very High,2,Good,3,Excellent,No,0,Travel_Frequently,6,Medium (6-15),2,Marketing,1,16,4,1
556,38,36-45,Male,Married,Research & Development,Laboratory Technician,1,Junior,1702,1.7,20424,Low (<3K),No,0,0.957,1,0-2 yrs,0,0,Just Promoted,0,1,1,3,4,Very High,4,Very High,3,Better,4,Outstanding,Yes,1,Travel_Frequently,2,Near (1-5),2,Life Sciences,1,23,3,3
558,40,36-45,Female,Married,Sales,Manager,5,Director,18041,18.04,216492,Very High (10K+),No,0,1.214,20,11-20 yrs,15,1,1-2 yrs,12,0,21,2,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Life Sciences,0,14,4,3
560,26,26-35,Female,Divorced,Research & Development,Research Scientist,1,Junior,2886,2.89,34632,Low (<3K),No,0,1.729,3,3-5 yrs,2,0,Just Promoted,2,1,3,3,4,Very High,1,Low,1,Bad,4,Outstanding,No,0,Travel_Rarely,23,Far (16+),3,Life Sciences,2,22,2,3
562,30,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2097,2.1,25164,Low (<3K),No,0,1.267,5,3-5 yrs,3,1,1-2 yrs,4,4,9,3,4,Very High,3,High,1,Bad,3,Excellent,No,0,Non-Travel,3,Near (1-5),3,Life Sciences,1,15,3,3
564,29,26-35,Male,Married,Research & Development,Research Director,3,Senior,11935,11.94,143220,Very High (10K+),No,0,1.41,10,6-10 yrs,2,0,Just Promoted,7,1,10,2,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),4,Medical,0,18,3,2
565,29,26-35,Female,Married,Research & Development,Research Scientist,1,Junior,2546,2.55,30552,Low (<3K),Yes,1,1.393,2,0-2 yrs,2,1,1-2 yrs,1,5,6,2,2,Medium,3,High,4,Best,3,Excellent,No,0,Travel_Rarely,25,Far (16+),5,Technical Degree,0,16,2,2
566,19,18-25,Male,Single,Human Resources,Human Resources,1,Junior,2564,2.56,30768,Low (<3K),Yes,1,1.207,1,0-2 yrs,0,0,Just Promoted,0,1,1,3,4,Very High,1,Low,4,Best,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Technical Degree,0,12,3,2
567,30,26-35,Female,Married,Sales,Sales Executive,3,Senior,8412,8.41,100944,High (6-10K),No,0,1.823,9,6-10 yrs,8,7,5+ yrs,8,0,10,3,1,Low,3,High,3,Better,3,Excellent,No,0,Non-Travel,22,Far (16+),4,Other,0,11,3,3
568,57,55+,Male,Divorced,Sales,Manager,4,Lead,14118,14.12,169416,Very High (10K+),No,0,1.6,1,0-2 yrs,0,0,Just Promoted,0,3,32,3,4,Very High,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,29,Far (16+),3,Marketing,1,12,3,2
569,50,46-55,Male,Married,Research & Development,Manager,4,Lead,17046,17.05,204552,Very High (10K+),No,0,1.6,27,20+ yrs,10,15,5+ yrs,7,0,28,2,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,29,Far (16+),4,Life Sciences,1,15,2,2
571,30,26-35,Female,Single,Research & Development,Laboratory Technician,1,Junior,2564,2.56,30768,Low (<3K),No,0,1.147,11,11-20 yrs,7,6,5+ yrs,7,0,12,2,4,Very High,3,High,2,Good,3,Excellent,No,0,Non-Travel,2,Near (1-5),3,Medical,0,14,3,3
573,60,55+,Female,Married,Sales,Sales Executive,3,Senior,10266,10.27,123192,Very High (10K+),No,0,1.733,18,11-20 yrs,13,13,5+ yrs,11,4,22,5,1,Low,3,High,4,Best,3,Excellent,No,0,Travel_Frequently,28,Far (16+),3,Marketing,0,19,4,2
574,47,46-55,Female,Divorced,Research & Development,Manufacturing Director,2,Mid-Level,5070,5.07,60840,Medium (3-6K),No,0,1.357,5,3-5 yrs,0,0,Just Promoted,4,5,20,2,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Medical,3,13,3,3
575,46,46-55,Male,Married,Research & Development,Research Director,4,Lead,17861,17.86,214332,Very High (10K+),No,0,1.907,3,3-5 yrs,2,0,Just Promoted,1,6,26,2,3,High,1,Low,1,Bad,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Life Sciences,0,13,3,3
577,35,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,4230,4.23,50760,Medium (3-6K),No,0,1.103,5,3-5 yrs,4,4,3-5 yrs,3,0,6,2,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,22,Far (16+),3,Life Sciences,0,15,3,1
578,54,46-55,Female,Single,Research & Development,Laboratory Technician,2,Mid-Level,3780,3.78,45360,Medium (3-6K),No,0,1.228,1,0-2 yrs,0,0,Just Promoted,0,7,19,3,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),4,Life Sciences,0,11,3,3
579,34,26-35,Male,Divorced,Research & Development,Research Scientist,1,Junior,2768,2.77,33216,Low (<3K),No,0,1.04,7,6-10 yrs,3,5,3-5 yrs,7,3,14,3,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Life Sciences,1,12,3,2
580,46,46-55,Female,Married,Sales,Sales Executive,3,Senior,9071,9.07,108852,High (6-10K),No,0,1.191,3,3-5 yrs,2,1,1-2 yrs,2,2,15,3,4,Very High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),3,Marketing,1,19,3,2
581,31,26-35,Male,Divorced,Research & Development,Manufacturing Director,3,Senior,10648,10.65,127776,Very High (10K+),No,0,1.331,13,11-20 yrs,8,0,Just Promoted,8,1,13,6,2,Medium,3,High,4,Best,4,Outstanding,No,0,Travel_Rarely,9,Medium (6-15),1,Life Sciences,1,25,4,3
582,33,26-35,Male,Married,Research & Development,Manager,3,Senior,13610,13.61,163320,Very High (10K+),Yes,1,1.548,7,6-10 yrs,6,7,5+ yrs,7,7,15,2,3,High,2,Medium,4,Best,3,Excellent,Yes,1,Travel_Rarely,15,Medium (6-15),1,Medical,0,12,4,3
584,33,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,3408,3.41,40896,Medium (3-6K),Yes,1,1.391,4,3-5 yrs,3,1,1-2 yrs,3,7,8,2,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),1,Medical,3,13,1,1
585,30,26-35,Male,Single,Sales,Sales Representative,1,Junior,2983,2.98,35796,Low (<3K),No,0,1.281,3,3-5 yrs,2,1,1-2 yrs,2,0,4,3,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),1,Marketing,0,14,1,3
586,35,26-35,Male,Married,Research & Development,Healthcare Representative,3,Senior,7632,7.63,91584,High (6-10K),No,0,1.255,8,6-10 yrs,7,0,Just Promoted,0,4,10,2,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,16,Far (16+),3,Life Sciences,0,12,3,3
587,31,26-35,Male,Married,Research & Development,Healthcare Representative,3,Senior,9824,9.82,117888,High (6-10K),Yes,1,1.669,1,0-2 yrs,0,0,Just Promoted,0,3,12,2,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,20,Far (16+),3,Life Sciences,0,12,1,3
590,34,26-35,Female,Divorced,Human Resources,Human Resources,3,Senior,9950,9.95,119400,High (6-10K),Yes,1,2.179,3,3-5 yrs,2,0,Just Promoted,2,9,11,2,1,Low,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Frequently,23,Far (16+),3,Human Resources,3,15,3,3
591,42,36-45,Male,Married,Research & Development,Laboratory Technician,1,Junior,2093,2.09,25116,Low (<3K),No,0,1.431,2,0-2 yrs,2,2,1-2 yrs,0,4,8,4,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Frequently,5,Near (1-5),2,Other,1,17,4,3
592,36,36-45,Male,Single,Sales,Sales Executive,3,Senior,9980,9.98,119760,High (6-10K),No,0,1.394,10,6-10 yrs,3,9,5+ yrs,7,1,10,3,4,Very High,2,Medium,2,Good,3,Excellent,No,0,Non-Travel,10,Medium (6-15),4,Medical,0,14,4,3
593,22,18-25,Male,Single,Research & Development,Laboratory Technician,1,Junior,3894,3.89,46728,Medium (3-6K),Yes,1,1.22,2,0-2 yrs,2,1,1-2 yrs,2,5,4,3,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Frequently,4,Near (1-5),1,Technical Degree,0,16,3,2
595,48,46-55,Female,Married,Sales,Sales Executive,2,Mid-Level,4051,4.05,48612,Medium (3-6K),No,0,1.197,9,6-10 yrs,7,6,5+ yrs,7,2,14,2,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),5,Marketing,1,14,1,3
597,55,46-55,Female,Single,Sales,Manager,4,Lead,16835,16.84,202020,Very High (10K+),No,0,1.959,10,6-10 yrs,9,7,5+ yrs,7,3,37,2,2,Medium,1,Low,3,Better,4,Outstanding,No,0,Travel_Rarely,18,Far (16+),5,Life Sciences,0,23,4,3
